APVA Interpretation Arbitration Study v0.1 - Aggregate
Research only. Fixed low-degree-of-freedom arbitration with past-only structural reliability scoring.
Instruments: 6E, CL, NQ

Aggregate Reliability Table
InterpretationType | InterpretationKey | Count_6E | Persist_6E | Entropy_6E | DominantProb_6E | Score_6E | Count_CL | Persist_CL | Entropy_CL | DominantProb_CL | Score_CL | Count_NQ | Persist_NQ | Entropy_NQ | DominantProb_NQ | Score_NQ | ValidInstrumentCount | MeanPersistence | MeanEntropy | MeanDominantProbability | MeanScore
CurrentStateAge | DecayToNeutral+Age1 | Count=775
CurrentStateAge | NeutralProcessing+Age5 | Count=775
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age2 | Count=756
PreviousDistinctContext | MixedStructure->DecayToNeutral+Age1 | Count=662
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age1 | Count=641
PreviousDistinctContext | ReassertionProcessing->MixedStructure+Age1 | Count=633
CurrentStateAge | CompressionProcessing+Age3 | Count=544
PreviousDistinctContext | RecoveryResolution->CompressionProcessing+Age2 | Count=517
CurrentStateAge | NeutralProcessing+Age11-20 | Count=513
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age6-10 | Count=497
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age6-10 | Count=489
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | Count=474
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age2 | Count=447

5. Most stable winning interpretations
CurrentStateAge | NeutralProcessing+Age1 | TotalRunBars=3149
CurrentStateAge | CompressionProcessing+Age1 | TotalRunBars=2488
PreviousDistinctContext | NeutralProcessing->MixedStructure+Age1 | TotalRunBars=2190
CurrentStateAge | NeutralProcessing+Age2 | TotalRunBars=2136
CurrentStateAge | NeutralProcessing+Age6-10 | TotalRunBars=1796
PreviousDistinctContext | NeutralProcessing->ReassertionProcessing+Age1 | TotalRunBars=1692
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age1 | TotalRunBars=1379
CurrentStateAge | NeutralProcessing+Age3 | TotalRunBars=1228
CurrentStateAge | CompressionProcessing+Age2 | TotalRunBars=1038
Unresolved | Unresolved | TotalRunBars=973
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age1 | TotalRunBars=882
CurrentStateAge | NeutralProcessing+Age4 | TotalRunBars=800
CurrentStateAge | DecayToNeutral+Age1 | TotalRunBars=775
CurrentStateAge | NeutralProcessing+Age5 | TotalRunBars=775
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age2 | TotalRunBars=756
PreviousDistinctContext | MixedStructure->DecayToNeutral+Age1 | TotalRunBars=662
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age1 | TotalRunBars=641
PreviousDistinctContext | ReassertionProcessing->MixedStructure+Age1 | TotalRunBars=633
CurrentStateAge | CompressionProcessing+Age3 | TotalRunBars=544
PreviousDistinctContext | RecoveryResolution->CompressionProcessing+Age2 | TotalRunBars=517
CurrentStateAge | NeutralProcessing+Age11-20 | TotalRunBars=513
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age6-10 | TotalRunBars=497
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age6-10 | TotalRunBars=489
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | TotalRunBars=474
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age2 | TotalRunBars=447

6. Highest conflict-rate interpretations
6E | ConflictRate=93.15%
CL | ConflictRate=62.97%
NQ | ConflictRate=53.89%

7. Most common context overrides
NeutralProcessing->MixedStructure+Age1 | Count=2190
NeutralProcessing->ReassertionProcessing+Age1 | Count=1692
CompressionProcessing->NeutralProcessing+Age1 | Count=1379
ReassertionProcessing->NeutralProcessing+Age1 | Count=882
CompressionProcessing->NeutralProcessing+Age2 | Count=756
MixedStructure->DecayToNeutral+Age1 | Count=662
MixedStructure->NeutralProcessing+Age1 | Count=641
ReassertionProcessing->MixedStructure+Age1 | Count=633
RecoveryResolution->CompressionProcessing+Age2 | Count=517
MixedStructure->NeutralProcessing+Age6-10 | Count=497
ReassertionProcessing->NeutralProcessing+Age6-10 | Count=489
CompressionProcessing->NeutralProcessing+Age3 | Count=474
ReassertionProcessing->NeutralProcessing+Age2 | Count=447
CompressionProcessing->ExhaustionPersistence+Age1 | Count=435
DecayToNeutral->MixedStructure+Age1 | Count=434
MixedStructure->ExhaustionPersistence+Age1 | Count=429
RecoveryResolution->CompressionProcessing+Age1 | Count=407
CompressionProcessing->NeutralProcessing+Age6-10 | Count=383
ExhaustionPersistence->RecoveryResolution+Age1 | Count=364
ExhaustionPersistence->RecoveryResolution+Age2 | Count=360
CompressionProcessing->NeutralProcessing+Age11-20 | Count=317
B:RecoveryResolution->CompressionProcessing+Age3 | Count=300
MixedStructure->RecoveryResolution+Age1 | Count=290
CompressionProcessing->RecoveryResolution+Age1 | Count=283
ExhaustionPersistence->RecoveryResolution+Age3 | Count=258

8. Most common validated-context overrides
B:RecoveryResolution->CompressionProcessing+Age3 | Count=300
C:RecoveryResolution->NeutralProcessing+Age1 | Count=234
D:DecayToNeutral->NeutralProcessing+Age4 | Count=204

9. Best outcome clear winners
PreviousDistinctContext | Clear | MeanSkew=5.72% | MeanDR=7.1973
CurrentStateAge | Clear | MeanSkew=3.66% | MeanDR=0.7490

10. Worst outcome ambiguous winners
PreviousDistinctContext | Ambiguous | MeanSkew=-4.60% | MeanDR=-0.2924
CurrentStateAge | Unresolved | MeanSkew=-2.92% | MeanDR=-1.1854
PreviousDistinctContext | Unresolved | MeanSkew=-1.22% | MeanDR=-1.3439
Unresolved | Unresolved | MeanSkew=-0.79% | MeanDR=-1.6737
CurrentStateAge | Ambiguous | MeanSkew=-0.27% | MeanDR=-0.6307

11. Highest fractal-jump risk periods
6E | RiskRate=42.08%
CL | RiskRate=41.73%
NQ | RiskRate=31.81%

Low-DoF audit
Allowed variables used:
- CurrentState
- AgeBucket
- PreviousDistinctState
- ValidatedContextFlag
- PersistenceRate_t1
- DominantDestinationProbability_t1
- Entropy_t1

Forbidden variables not used:
- Phase
- New contexts
- Optimized weights
- Forward returns in scoring
- Price outcome in scoring
- Machine learning

Mechanical research notes
- Interpretation reliability is structural-label reliability, not directional desirability.
- Each bar is scored online using only transitions already observable before that bar.
- The validated negative B context receives a smaller informational bonus.
- Outcome diagnostics remain downstream and cannot influence arbitration.
